id,premise_id,name,is_default,prediction_config_json
mode_prem_ventas_demanda_base,prem_ventas_demanda,Base,true,"{""method"": ""linear_trend"", ""params"": {""lookback_periods"": 12}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_ventas_ticket_promedio_base,prem_ventas_ticket_promedio,Base,true,"{""method"": ""growth_rate_pct"", ""params"": {""rate"": 2.1}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_ventas_promocion_base,prem_ventas_promocion,Base,true,"{""method"": ""seasonal_naive"", ""params"": {""season_length"": 12}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_ventas_ingreso_neto_base,prem_ventas_ingreso_neto,Base,true,"{""method"": ""formula_placeholder"", ""params"": {""expression"": ""demanda_exportada * ticket_promedio * (1 - intensidad_promocional / 100)""}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_combustible_gasolina_base,prem_combustible_gasolina,Base,true,"{""method"": ""seasonal_naive"", ""params"": {""season_length"": 12}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_combustible_diesel_base,prem_combustible_diesel,Base,true,"{""method"": ""seasonal_naive"", ""params"": {""season_length"": 12}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_combustible_flete_base,prem_combustible_flete,Base,true,"{""method"": ""moving_average"", ""params"": {""window"": 3}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_combustible_costo_ruta_base,prem_combustible_costo_ruta,Base,true,"{""method"": ""formula_placeholder"", ""params"": {""expression"": ""gasolina * 180 + diesel * 240 + indice_flete * 95""}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_macro_tipo_cambio_base,prem_macro_tipo_cambio,Base,true,"{""method"": ""moving_average"", ""params"": {""window"": 4}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_macro_resina_usd_base,prem_macro_resina_usd,Base,true,"{""method"": ""linear_trend"", ""params"": {""lookback_periods"": 12}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_macro_inflacion_bienes_base,prem_macro_inflacion_bienes,Base,true,"{""method"": ""moving_average"", ""params"": {""window"": 5}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_macro_costo_importado_base,prem_macro_costo_importado,Base,true,"{""method"": ""formula_placeholder"", ""params"": {""expression"": ""tipo_cambio * resina_usd * (1 + inflacion_importados / 100)""}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_arima_demanda_base,prem_arima_demanda,Base,true,"{""method"": ""arima_like"", ""params"": {""lookback_periods"": 24}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_arima_precio_unitario_base,prem_arima_precio_unitario,Base,true,"{""method"": ""growth_rate_pct"", ""params"": {""rate"": 2.4}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_arima_costo_fijo_base,prem_arima_costo_fijo,Base,true,"{""method"": ""carry_forward"", ""params"": {}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_arima_ocupacion_bodega_base,prem_arima_ocupacion_bodega,Base,true,"{""method"": ""moving_average"", ""params"": {""window"": 3}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_arima_ingreso_bruto_base,prem_arima_ingreso_bruto,Base,true,"{""method"": ""formula_placeholder"", ""params"": {""expression"": ""demanda_operativa * precio_unitario""}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_arima_costo_variable_base,prem_arima_costo_variable,Base,true,"{""method"": ""formula_placeholder"", ""params"": {""expression"": ""demanda_operativa * 88 + costo_fijo""}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_arima_resultado_operacion_base,prem_arima_resultado_operacion,Base,true,"{""method"": ""formula_placeholder"", ""params"": {""expression"": ""ingreso_bruto - costo_variable""}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_arima_ebitda_base,prem_arima_ebitda,Base,true,"{""method"": ""formula_placeholder"", ""params"": {""expression"": ""resultado_operacion - ocupacion_bodega * 180""}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_agro_cafe_volumen_base,prem_agro_cafe_volumen,Base,true,"{""method"": ""seasonal_naive"", ""params"": {""season_length"": 12}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_agro_lluvia_base,prem_agro_lluvia,Base,true,"{""method"": ""seasonal_naive"", ""params"": {""season_length"": 12}, ""forecast_start_period_key"": ""2025-12"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_agro_precio_cafe_base,prem_agro_precio_cafe,Base,true,"{""method"": ""linear_trend"", ""params"": {""lookback_periods"": 12}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_agro_ingreso_base,prem_agro_ingreso,Base,true,"{""method"": ""formula_placeholder"", ""params"": {""expression"": ""cafe_exportado * precio_cafe * (0.9 + lluvia_acumulada / 2000)""}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_expansion_tiendas_base,prem_expansion_tiendas,Base,true,"{""method"": ""linear_trend"", ""params"": {""lookback_periods"": 12}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_expansion_capex_tienda_base,prem_expansion_capex_tienda,Base,true,"{""method"": ""moving_average"", ""params"": {""window"": 3}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_expansion_payback_base,prem_expansion_payback,Base,true,"{""method"": ""arima_like"", ""params"": {""lookback_periods"": 24}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
mode_prem_expansion_flujo_base,prem_expansion_flujo,Base,true,"{""method"": ""formula_placeholder"", ""params"": {""expression"": ""tiendas_nuevas * capex_tienda / meses_payback""}, ""forecast_start_period_key"": ""2026-01"", ""forecast_end_period_key"": ""2026-12""}"
